#grid point	c_iterations	c_convergence   	P               	T(k)            	n_<tot> (cm-3)  	n_g (cm-3)      	m(u)            	C    	H    	He   	N    	O    	S    	P    	Si   	Ti   	V    	Cl   	K    	Na   	Mg   	F    	Ca   	Fe   	e-   
0         	62        	ok              	9.9006600000e+00	2.5161584470e+03	8.2706971385e+19	2.8499841033e+19	4.2571611149e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
1         	62        	ok              	9.9006600000e+00	2.5161584470e+03	8.2706971385e+19	2.8499841033e+19	4.2571611149e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
2         	62        	ok              	9.9006600000e+00	2.5161584470e+03	8.2706971385e+19	2.8499841033e+19	4.2571611149e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
3         	62        	ok              	9.9006600000e+00	2.5161584470e+03	8.2706971385e+19	2.8499841033e+19	4.2571611149e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
4         	62        	ok              	9.9006600000e+00	2.5161584470e+03	8.2706971385e+19	2.8499841033e+19	4.2571611149e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
5         	62        	ok              	9.9006600000e+00	2.5161584470e+03	8.2706971385e+19	2.8499841033e+19	4.2571611149e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
6         	62        	ok              	9.9006600000e+00	2.5161584470e+03	8.2706971385e+19	2.8499841033e+19	4.2571611149e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
7         	62        	ok              	9.9006600000e+00	2.5161584470e+03	8.2706971385e+19	2.8499841033e+19	4.2571611149e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
8         	62        	ok              	9.9006600000e+00	2.5161584470e+03	8.2706971385e+19	2.8499841033e+19	4.2571611149e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
9         	62        	ok              	9.9006600000e+00	2.5161584470e+03	8.2706971385e+19	2.8499841033e+19	4.2571611149e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
10        	62        	ok              	9.9006600000e+00	2.5161584470e+03	8.2706971385e+19	2.8499841033e+19	4.2571611149e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
11        	62        	ok              	9.9006600000e+00	2.5161584470e+03	8.2706971385e+19	2.8499841033e+19	4.2571611149e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
12        	62        	ok              	9.9006600000e+00	2.5161584470e+03	8.2706971385e+19	2.8499841033e+19	4.2571611149e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
13        	62        	ok              	9.9006600000e+00	2.5161584470e+03	8.2706971385e+19	2.8499841033e+19	4.2571611149e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
14        	62        	ok              	9.9006600000e+00	2.5161584470e+03	8.2706971385e+19	2.8499841033e+19	4.2571611149e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
15        	62        	ok              	9.9006600000e+00	2.5161584470e+03	8.2706971385e+19	2.8499841033e+19	4.2571611149e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
16        	62        	ok              	9.9006600000e+00	2.5161584470e+03	8.2706971385e+19	2.8499841033e+19	4.2571611149e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
17        	62        	ok              	9.9006600000e+00	2.5161584470e+03	8.2706971385e+19	2.8499841033e+19	4.2571611149e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
